Cell_Index	Time	Event_length	89Y_pHH3__S28	113In_EpCAM	115In_Pan-CK	127I_IdU	130Te_TePhe	140Ce_EQ_Beads	141Pr_pPDK1__S241	142Nd_cCaspase_3__D175	143Nd_C-MYC	144Nd_Lysozyme	145Nd_FABP1	146Nd_pMKK4_SEK1__S257	147Sm_pBTK1__Y511	148Nd_pSRC__Y418	149Sm_p4E-BP1__T37_46	150Nd_pRB__S807_811	151Eu_pPKCa__T297	152Sm_pAKT__T308	153Eu_pCREB__S133	154Sm_pSMAD1_5_9	155Gd_pAKT__S473	156Gd_pNF-kB__S529	157Gd_pMKK3_MKK6__S189_207	158Gd_pP38__T180_Y182	159Tb_pMAPKAPK2__T334	160Gd_pAMPKa__T172	161Dy_pBAD__S112	162Dy_LRIG1	163Dy_pP90RSK__T359	164Dy_p120-Catenin__T310	165Ho_Beta-Catenin__Active	166Er_pGSK3b__S9	167Er_pERK1_2__T202_Y204	168Er_pSMAD2_3	169Tm_GFP	170Er_pMEK1_2__S221	171Yb_CLCA1	172Yb_pS6__S235_236	173Yb_DCAMKL1	174Yb_CHGA	175Lu_CD44	176Yb_Cyclin_B1	191Ir_DNA_1	193Ir_DNA_2	198Pt_Cisplatin	209Bi_DiMeHH3__K4	Center	Offset	Width	Residual	file_origin	UMAP_testumap_final_D1	UMAP_testumap_final_D2
2-7	28.39800071716309	26.0	0.0	23.203859329223643	3.871829748153688	0.0	6.000969886779785	0.0	8.730398178100586	213.7188873291016	9.20943546295166	3.9643070697784415	315.30047607421875	18.526506423950195	8.40760326385498	13.566655158996582	1.6665586233139038	1.672429442405701	0.0	1.8744596242904663	7.126397132873535	0.24798618257045746	5.6660966873168945	0.2955857217311859	8.775210380554201	10.98434352874756	13.706765174865724	9.468564987182617	58.40509796142578	6.256415843963622	7.165731430053711	12.4539155960083	43.84041976928711	0.0	82.82684326171875	35.72740173339844	0.0	9.098466873168944	0.0	0.0	0.0	0.0	0.0	33.115291595458984	3814.363037109375	6191.95458984375	1368.2000732421875	141.3720245361328	1168.9849853515625	162.73699951171875	117.46700286865234	173.3979949951172	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
2-9	41.02899932861328	17.0	249.4181365966797	63.93820190429688	42.46347427368164	0.1039348915219307	3.187161922454834	2.114928960800171	30.348735809326172	5.540679454803467	3.3252177238464355	0.0	0.0	46.10015869140625	14.182639122009276	36.736907958984375	0.1888456344604492	47.09378051757813	93.52043914794922	117.61390686035156	23.947406768798828	3.210123538970948	0.4637298882007599	40.63881301879883	22.76902008056641	110.01573181152344	279.64273071289057	166.65896606445312	11.071399688720703	20.796003341674805	4.9301323890686035	126.248046875	18.27357482910156	24.27850341796875	1.7885520458221436	3.5640041828155518	18.96866607666016	79.98381042480469	1.1976830959320068	44.371341705322266	0.0	0.0	0.0	88.56673431396484	2360.51708984375	4268.8662109375	713.1294555664062	530.2332763671875	728.4910278320312	76.80000305175781	37.64300155639648	69.15000152587889	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
2-2	12.630000114440918	30.0	0.14110347628593445	1.3392114639282229	259.05242919921875	0.0	4.707069396972656	4.055567264556885	50.20530319213867	49.82383346557617	86.10940551757812	7.533366680145264	0.07124293595552443	28.17590141296387	35.59834289550781	23.515539169311523	7.019679069519043	119.38023376464844	10.048565864562988	23.397314071655273	8.778980255126951	9.111940383911133	7.383489608764647	258.0902099609375	12.005829811096193	109.52101135253906	17.865978240966797	581.047607421875	19.88555145263672	2.0318951606750493	160.42881774902344	87.74114990234375	17.146173477172848	98.9745101928711	178.5575714111328	66.07659912109375	64.52102661132811	320.89581298828125	0.0	4.123076438903809	3.0956361293792725	804.3811645507812	0.0	150.088623046875	2442.365966796875	5014.529296875	86.3088150024414	3754.447265625	1313.8699951171875	110.50800323486328	96.2750015258789	94.5500030517578	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
2-4	17.48699951171875	19.0	1.8192479610443115	60.77627944946289	119.92980194091795	0.4794899225234986	33.74316024780273	1.137257695198059	58.33696746826172	14.702569961547852	30.383026123046875	2.9522361755371094	165.78004455566406	6.460367679595947	16.232311248779293	16.633598327636722	48.63910293579102	61.473838806152344	20.83110809326172	22.287012100219727	17.726165771484375	4.989028930664063	13.04443645477295	17.847476959228516	12.62925624847412	32.119033813476555	18.73018455505371	154.0384979248047	54.98446655273438	0.8767140507698059	5.932670593261719	158.22291564941406	47.82880401611328	39.15064239501953	97.44320678710938	77.2350845336914	0.0	0.0	5.428038120269775	2.017195463180542	0.0	12.654949188232422	0.0	85.64254760742188	3435.466552734375	6546.11083984375	512.0870971679689	1198.4547119140625	762.2239990234375	70.59700012207031	38.44400024414063	103.18699645996094	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
2-1	6.992000102996826	21.0	4.723011493682861	42.8502082824707	89.72344207763672	11.339225769042967	14.30056095123291	4.757993698120117	34.67305374145508	11.850436210632324	0.0	0.0	7.945921421051025	7.908735275268555	8.928592681884766	17.047971725463867	21.9643611907959	76.98007202148438	17.811912536621094	6.808723449707031	14.684966087341307	0.4563407897949219	2.312103748321533	6.51625394821167	1.8903059959411617	86.61920166015625	18.155385971069336	27.489641189575195	2.632202386856079	6.4824676513671875	10.526725769042967	117.16949462890624	31.207231521606445	44.34766006469727	31.36873435974121	49.6982421875	0.0	17.717775344848633	0.0	0.4233115911483765	8.606987953186035	4.487545967102051	24.45632553100586	37.68728637695313	967.1887817382812	1702.539306640625	80.49581146240234	1419.7452392578125	1018.9450073242188	113.16500091552734	71.39600372314453	140.63699340820312	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
2-6	26.90099906921387	14.0	0.0	31.965091705322266	4.7657437324523935	0.4668725430965424	1.5328277349472046	0.0	15.95042324066162	37.12448501586914	0.0	2.6442341804504395	6.3961567878723145	2.696467638015747	2.420907020568848	3.6538479328155518	14.177556991577148	0.0	0.0	0.0	3.3781001567840576	2.663824319839477	0.9491341710090636	5.399647235870361	3.963268756866455	10.21551513671875	19.949766159057614	2.985447883605957	19.471399307250977	2.8297834396362305	18.564617156982425	3.1911110877990723	3.567448854446411	58.03976821899414	2.6060736179351807	0.0	0.0	0.0	13.785253524780273	232.4701995849609	9.124826431274414	0.0	7.901525020599365	0.0	1079.7830810546877	1681.6361083984375	528.2008666992189	4.769312381744385	618.1829833984375	85.93099975585938	37.57699966430664	126.44000244140624	2 | figure-1_full-gate_1st-cytobank-export_no-arcsinh_TRUNCATED.txt		
3-75262	478545.0625	41.0	0.0	43.44356918334961	155.8577117919922	0.3900246620178223	8.182647705078125	3.2277104854583736	28.6257266998291	28.524593353271484	16.745407104492188	3.5864453315734863	51.90289688110352	7.1078429222106925	38.29114151000977	41.20968246459961	35.512393951416016	74.48330688476562	35.198486328125	22.60293960571289	14.697709083557127	10.681118965148926	10.203449249267578	58.46185302734375	26.07290458679199	62.90581512451172	36.492774963378906	31.75974273681641	33.79357147216797	3.426276445388794	29.56533622741699	97.3239517211914	22.159809112548828	163.5386962890625	259.20709228515625	75.3720703125	0.8564221858978271	40.07164764404297	12.815260887145994	35.84761428833008	18.255931854248047	0.0	19.634950637817386	43.45905685424805	3552.544921875	7944.07666015625	524.1773681640625	1919.346923828125	1043.02001953125	58.4000015258789	69.63200378417969	273.0360107421875	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-271850	1817478.5	18.0	0.98773592710495	11.903557777404785	9.637531280517578	3.749700784683228	4.426811218261719	2.9289445877075195	6.00399923324585	52.9472541809082	8.907360076904297	0.0	20.46857261657715	0.0	26.421178817749023	4.41879940032959	0.0	0.0	0.0	7.090852737426758	0.0	5.607887268066406	4.998906135559082	0.0	13.65719509124756	13.080850601196287	7.608440399169923	4.848820209503174	7.103284358978272	0.0	5.466821670532227	0.0	20.2353572845459	62.13959503173828	0.0	1.8617931604385376	4.690766334533691	17.73102569580078	25.95124816894531	0.0	0.0	0.0	0.0	53.42038345336914	2264.971435546875	4293.84130859375	368.5827941894531	75.02392578125	806.375	133.89700317382812	70.01799774169922	121.802001953125	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-193502	1285781.75	23.0	3.270382165908813	68.22982788085939	68.45601654052734	0.0	1.7991902828216553	0.17472095787525174	42.84296417236328	1.4417805671691897	2.09029507637024	1.7854760885238647	2.2427661418914795	6.2961931228637695	25.784648895263672	26.02385902404785	36.14680862426758	69.80557250976561	7.481361389160156	3.8402419090271	3.365441083908081	5.048604488372803	0.0	17.51871109008789	13.3433256149292	34.44278335571289	20.819305419921875	82.85590362548828	10.329976081848145	15.373374938964846	30.35261154174805	116.37261199951172	30.233232498168945	21.656938552856445	65.33985900878906	39.366458892822266	14.581233024597168	8.561587333679201	11.596168518066404	0.0	9.664005279541016	22.27737236022949	0.0	73.41169738769531	2125.26806640625	4585.3310546875	181.4602203369141	916.0509033203124	1080.718017578125	148.2270050048828	95.36000061035156	126.22100067138672	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-332490	2222877.75	20.0	0.09863239526748656	48.83885192871094	163.0662841796875	0.7521693110466003	4.9955620765686035	0.0	14.17547607421875	100.3223876953125	5.798713207244872	8.501944541931152	277.63821411132807	364.5384521484375	64.74617767333984	6.938639163970947	4.519474983215332	0.0	7.4800190925598145	5.753215312957764	1.6288750171661377	5.921482563018799	5.2258620262146	18.152873992919922	30.80993843078613	4.2020649909973145	9.639138221740724	5.0538859367370605	44.51244354248047	16.275726318359375	23.471546173095703	2.799286127090454	135.40689086914062	654.2898559570312	20.4032039642334	139.51223754882812	3.3673021793365483	77.72882843017578	4.298462867736816	0.0	5.064865589141847	0.0	0.0	54.44223022460938	6926.681640625	12372.9619140625	662.8868408203125	239.76075744628903	881.6229858398438	101.48600006103516	59.35300064086914	60.24800109863281	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-177449	1177882.625	15.0	2.437746286392212	5.894946098327638	20.93826484680176	0.0	3.1924703121185303	4.652485370635986	2.0640544891357417	82.18189239501953	7.020814418792725	1.1519851684570312	7.752027988433838	17.734922409057614	29.316057205200195	0.0	1.202753663063049	1.455080509185791	1.8252335786819456	0.0	0.0	2.525747776031494	6.515913009643555	8.253378868103027	8.142560005187987	15.654267311096193	0.0	8.223064422607424	1.2752158641815186	0.0	5.707102298736572	3.358760356903076	23.13796424865723	73.84844970703125	34.32590484619141	4.80300235748291	20.703947067260746	35.74781036376953	29.25495147705078	0.8356284499168396	5.868665218353272	0.0	0.0	71.63644409179688	1045.5885009765623	1821.934326171875	129.9644775390625	43.15750122070313	749.0269775390625	157.7530059814453	67.64299774169922	142.54800415039062	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-43409	269418.78125	23.0	0.0	3.6916108131408687	405.4854736328125	0.0	0.3013337850570679	0.019970279186964042	17.227079391479492	0.0	9.720205307006836	0.0	8.040348052978517	1.378472924232483	25.151323318481445	3.3219420909881587	8.056069374084473	61.61910629272461	18.979373931884766	10.531862258911133	10.922426223754883	3.4325869083404537	0.0	61.30213165283203	13.621545791625975	90.50067138671876	6.75501823425293	56.67201614379883	11.394888877868652	0.0	2.307923555374145	31.21564865112305	14.465211868286133	8.118655204772951	47.01494979858398	0.10789862275123596	0.0	70.29067230224611	0.0	15.240389823913574	0.0	7.207053184509277	0.0	393.4471740722656	1952.034423828125	2821.613525390625	56.93144989013672	3245.67578125	1112.282958984375	125.7480010986328	86.64800262451172	174.61500549316406	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-183075	1214142.125	20.0	3.8542168140411377	190.3905487060547	73.17823028564453	9.014986991882324	21.376895904541016	1.4305088520050049	124.8125991821289	95.5110092163086	34.88920211791992	23.72502326965332	908.9893188476562	57.94131851196289	33.567455291748054	47.90716934204102	70.21851348876953	80.34624481201172	20.116893768310547	22.4230899810791	78.83621215820312	17.236452102661133	9.07870864868164	31.79296112060547	26.198448181152344	96.9220199584961	41.11466598510742	55.85282897949219	232.88504028320312	19.005023956298828	59.82743835449219	176.31454467773438	90.83236694335938	177.359619140625	142.47093200683594	154.2374267578125	0.0	35.9805793762207	8.146117210388184	37.7161979675293	14.87524700164795	0.0	18.050048828125	64.14059448242189	5645.99365234375	9229.2099609375	908.60205078125	1701.8201904296875	818.27197265625	80.1709976196289	45.97700119018555	54.959999084472656	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-392524	2701593.5	23.0	0.0	11.27808952331543	19.999103546142575	1.6771663427352903	8.07056999206543	0.0	35.30770874023437	100.6671905517578	0.0	0.7361719608306885	52.45795440673828	21.476886749267575	22.66944694519043	10.855713844299316	52.58034896850586	0.0	8.030420303344728	10.673068046569824	34.629257202148445	2.322709560394287	7.312229633331299	21.399301528930664	33.50815963745117	67.81646728515625	96.73503112792969	39.66549301147461	68.95500946044922	2.0072169303894043	21.02174186706543	21.365886688232425	24.760990142822266	129.91693115234378	16.121387481689453	75.96993255615234	0.0	13.871514320373535	3.6417772769927983	362.1231994628906	25.07748031616211	11.794214248657227	0.0	28.080257415771484	6733.3408203125	11544.1767578125	787.6137084960938	112.12386322021484	1094.9119873046877	131.16499328613278	85.05500030517578	62.23699951171875	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
3-281569	1883588.625	26.0	0.0	135.65176391601562	104.40866088867188	0.0	16.60968017578125	0.0	43.79366683959961	15.352654457092285	11.900741577148438	6.180375576019287	119.82708740234376	7.572540283203125	27.53670310974121	25.219491958618164	95.7249755859375	44.55217361450195	21.574121475219727	18.75190544128418	28.84122085571289	12.13107204437256	5.886166095733643	18.109155654907227	40.01921463012695	51.619346618652344	4.2629241943359375	29.40703201293945	25.90721321105957	5.116048812866211	22.128154754638672	194.21136474609366	39.64657211303711	168.46763610839844	31.064104080200195	15.030521392822266	0.0	33.70413589477539	0.0	9.254940032958984	22.99104881286621	31.90780639648437	0.0	108.07567596435548	4409.85009765625	7444.7783203125	504.81231689453125	1472.71728515625	1187.06005859375	154.12100219726562	110.89099884033205	135.7030029296875	3 | figure-1_full-gate_1st-cytobank-export_no-arcsinh copy.txt		
